mid,formula,nsites,pred_log_sigma
mp:985,BaLiAs,3,-3.4535837173461914
mp:4783,Rb2LiVS4,16,-3.4557085037231445
mp:14932,Li6MgBr8,15,-3.456331729888916
mp:5888,LiPr2Ta2Cl2O7,14,-3.4566054344177246
mp:1450,LiY2Ru,4,-3.4586024284362793
mp:6845,Li2Cu2F7,22,-3.4598097801208496
mp:16632,Li8FeS6,30,-3.462150812149048
mp:6277,Li2PdF6,18,-3.462467670440674
mp:3,Li,4,-3.462677001953125
mp:7544,Li2La2Ti3O10,17,-3.4645252227783203
mp:6288,Li2RhF6,18,-3.465035915374756
mp:7,Li,12,-3.4655065536499023
mp:753,LiCu2F6,18,-3.466853380203247
mp:618,LiFeF4,24,-3.4674248695373535
mp:1942,LiFeF4,48,-3.4691972732543945
mp:3001,LiTi2(PO4)3,36,-3.4695920944213867
mp:11013,Li3NdAs2,6,-3.470654010772705
mp:17578,Li3Ti2(PO4)3,40,-3.472196102142334
mp:8425,Cs2Li2TiO4,18,-3.4737467765808105
mp:1313,LiZnPt2,4,-3.4764490127563477
mp:4198,LiCeMg14O16,32,-3.4789867401123047
mp:16217,Li10Zn(PS4)4,31,-3.4825007915496826
mp:3214,LiLa8Cu3O16,28,-3.4844679832458496
mp:506,Na2LiCl3,12,-3.4850363731384277
mp:7621,Li2TiP3O10,64,-3.4850401878356934
mp:9858,LiMnFeF6,27,-3.487487316131592
mp:2271,LiCu3F10,56,-3.4922022819519043
mp:1022,LiMnF5,28,-3.4922895431518555
mp:1656,LiFeS2,16,-3.4940996170043945
mp:9817,LiTi(PO3)4,36,-3.4942116737365723
mp:5361,SrLiLa7(CoO8)2,27,-3.4956741333007812
mp:16482,Li19(FeAs)20,59,-3.49770188331604
mp:5566,Ba2LiMn2(P2O7)2,23,-3.49865984916687
mp:10987,Li3BiS3,14,-3.4988975524902344
mp:3676,Cs2LiTmCl6,10,-3.4991636276245117
mp:3543,Rb2LiNdCl6,10,-3.5029897689819336
mp:3626,Na2LiBiCl6,10,-3.5052294731140137
mp:9053,LiMg30CO32,64,-3.505819797515869
mp:5926,SrLiLa7Fe3O16,28,-3.5090951919555664
mp:6577,Li2Cu3F8,13,-3.5154738426208496
mp:7494,Li2GePbS4,8,-3.521383285522461
mp:9666,LiMn(P2O7)2,40,-3.5251104831695557
mp:275,LiFe2F6,18,-3.5255019664764404
mp:10997,Li3CeSb2,6,-3.5288214683532715
mp:838,LiTiSe2,4,-3.5326056480407715
mp:1860,LiNb6Cl19,52,-3.533217430114746
mp:7495,Li2EuGeS4,8,-3.5334696769714355
mp:7535,Li2Zr6MnCl15,24,-3.5353708267211914
mp:2235,Na4LiCl5,20,-3.5366268157958984
mp:10646,Li2Ti2MnCr2(PO4)6,37,-3.5373544692993164
mp:707,LiMnF6,8,-3.538975238800049
mp:15250,Li6Ti8Ni(PO5)8,63,-3.5440731048583984
mp:2136,LiTi3O4,8,-3.548037528991699
mp:3538,Rb2LiTaCl6,10,-3.5499229431152344
mp:10467,Li2Ti4Ni(PO5)4,31,-3.5506560802459717
mp:3615,K2LiDyCl6,10,-3.5510830879211426
mp:10409,Li2Ti4Ni(PO5)4,62,-3.5517501831054688
mp:1610,LiHoPd2,4,-3.5526442527770996
mp:5517,LiSc2Al2(CO)2,9,-3.55568265914917
mp:5892,LiNd4Nb2In2O14,23,-3.55771541595459
mp:6497,Li2PrAs2,5,-3.561412811279297
mp:5272,Sr4LiSm2Ta2O12,21,-3.5621442794799805
mp:6990,Li2CuF4,14,-3.5623059272766113
mp:9936,LiCdFeF6,18,-3.563939094543457
mp:857,LiTiS2,4,-3.5640835762023926
mp:591,LiCu2F7,40,-3.5684704780578613
mp:18417,Li3Y4Ti4(S2O5)2,25,-3.5687599182128906
mp:11231,CsLi3Cl4,16,-3.5690855979919434
mp:3684,Cs2LiAuCl6,10,-3.5693535804748535
mp:9072,LiMg30SiO32,64,-3.5695981979370117
mp:9020,LiMg6CoO8,16,-3.570700168609619
mp:1857,LiMn2F6,9,-3.571208953857422
mp:5466,LiTi3Nb(PO4)6,35,-3.5719923973083496
mp:7898,Li2Nb2(PO4)3,38,-3.572876453399658
mp:11928,Li3Ti(PO4)2,56,-3.5744705200195312
mp:6117,Li2Sn5,14,-3.5745925903320312
mp:8342,Li2Ti3P9O28,42,-3.576782703399658
mp:11093,Li3BiS3,56,-3.576845645904541
mp:1570,LiHo2Pt,4,-3.5768847465515137
mp:597,LiCuF4,24,-3.5774178504943848
mp:9644,LiTiP2O7,44,-3.5792388916015625
mp:5438,LiCuH4Cl3O2,44,-3.5812978744506836
mp:15087,Li6PS5I,13,-3.581855297088623
mp:1649,Li(FeS2)2,14,-3.5821361541748047
mp:730,LiSm2Br5,16,-3.5821802616119385
mp:3569,K2LiTbCl6,10,-3.583081007003784
mp:16223,Li10Ge(PS6)2,50,-3.5843544006347656
mp:18101,Li3Ti2(PO4)3,80,-3.58646297454834
mp:936,LiYSn,24,-3.5868730545043945
mp:351,Na4LiCl5,20,-3.588931083679199
mp:7350,Li2MgZrO4,8,-3.593179702758789
mp:5187,Sr4LiSm2Ta2O12,21,-3.593778133392334
mp:11002,Li3LaBi2,6,-3.5938453674316406
mp:14239,Li5V5Cl16,52,-3.5943899154663086
mp:3619,Na2LiYCl6,10,-3.595980644226074
mp:1845,LiTi4O8,13,-3.595982074737549
mp:16751,Li8MnCo7(PO4)12,76,-3.597975254058838
mp:612,LiFeF4,24,-3.5983519554138184
mp:4383,LiNb(PO3)4,72,-3.5986275672912598
mp:10748,Li3N,8,-3.5991592407226562
mp:10939,Li3BiS3,14,-3.599851131439209
mp:9399,LiTiP2O7,44,-3.6000442504882812
mp:3753,Cs2LiLuCl6,10,-3.6007580757141113
mp:6606,Li2Cu3F9,28,-3.601783275604248
